종목코드,종목명,종가,대비,등락률,시장구분,업종명,시가총액,EPS,BPS,주당배당금,배당수익률,Date,PER,PBR,PCR,PSR
004720,팜젠사이언스,10500,740,7.58,KOSPI,의약품,154485796500,675,5677,0,0,,15.56,1.85,,
000230,일동홀딩스,13350,200,1.52,KOSPI,의약품,154064340000,,10633,100,0.75,,,1.26,,
071970,STX중공업,5430,-190,-3.38,KOSPI,기계,154027249680,39,6131,0,0,,139.23,0.89,,
025750,한솔홈데코,1905,-5,-0.26,KOSPI,종이목재,153476608845,7,1918,0,0,,272.14,0.99,,
004060,SG세계물산,751,0,0,KOSPI,유통업,152021144960,,969,0,0,,,0.78,,
025820,이구산업,4545,-80,-1.73,KOSPI,철강금속,151993890000,57,3058,30,0.66,,79.74,1.49,,
004440,삼일씨엔에스,11900,-250,-2.06,KOSPI,비금속광물,151510169300,,21785,0,0,,,0.55,,
019440,세아특수강,17550,150,0.86,KOSPI,철강금속,150403500000,,35541,700,3.99,,,0.49,,
008600,윌비스,2285,-90,-3.79,KOSPI,유통업,150288818920,,1552,0,0,,,1.47,,
012200,계양전기,4550,-20,-0.44,KOSPI,기계,1.4833e+11,294,5664,35,0.77,,15.48,0.8,,
006340,대원전선,2065,-30,-1.43,KOSPI,전기전자,146650036855,32,1159,0,0,,64.53,1.78,,
011150,CJ씨푸드,4080,-25,-0.61,KOSPI,음식료품,146597553840,58,1823,0,0,,70.34,2.24,,
002880,대유에이텍,1305,-20,-1.51,KOSPI,운수장비,145979357985,,1045,0,0,,,1.25,,
003480,한진중공업홀딩스,4935,45,0.92,KOSPI,전기가스업,145729622220,,11160,0,0,,,0.44,,
005320,국동,2695,-15,-0.55,KOSPI,유통업,145729316810,458,2309,50,1.86,,5.88,1.17,,
023960,에쓰씨엔지니어링,5050,255,5.32,KOSPI,건설업,145594464350,,786,0,0,,,6.42,,
013570,디와이,5500,-30,-0.54,KOSPI,기타금융,144757981500,,12760,100,1.82,,,0.43,,
000220,유유제약,8330,40,0.48,KOSPI,의약품,143545483830,84,6360,210,2.52,,99.17,1.31,,
024890,대원화성,3475,-75,-2.11,KOSPI,화학,143340803200,,1843,10,0.29,,,1.89,,
