종목코드,종목명,시장구분,산업분류,현재가(종가),전일대비,시가총액(원),일자,관리여부,종가,EPS,PER,BPS,PBR,주당배당금,배당수익률,PCR,PSR
002840,미원상사,코스피,화학,107000,-3000,5.3179e+11,2020-11-19,-,107000,6163,17.36,44134,2.42,654,0.61,,
000020,동화약품,코스피,의약품,18600,550,519525342000,2020-11-19,-,18600,341,54.55,10772,1.73,120,0.65,,
353200,대덕전자,코스피,전기전자,10500,-250,518877712500,2020-11-19,-,10500,,,,,,,,
009290,광동제약,코스피,의약품,9800,-50,513724339800,2020-11-19,-,9800,582,16.84,8069,1.21,80,0.82,,
030610,교보증권,코스피,금융업,7820,20,505588774720,2020-11-19,-,7820,2391,3.27,26692,0.29,400,5.12,,
001630,종근당홀딩스,코스피,의약품,100500,-1500,503491030500,2020-11-19,-,100500,8988,11.18,93600,1.07,1300,1.29,,
003070,코오롱글로벌,코스피,건설업,19800,-200,499166672400,2020-11-19,-,19800,1922,10.3,18259,1.08,350,1.77,,
123890,한국자산신탁,코스피,금융업,3945,-95,489092231640,2020-11-19,-,3945,733,5.38,5339,0.74,200,5.07,,
281820,케이씨텍,코스피,의료정밀,24500,450,486063830000,2020-11-19,-,24500,1859,13.18,14541,1.68,200,0.82,,
024720,한국콜마홀딩스,코스피,금융업,26150,-300,485781201850,2020-11-19,-,26150,2364,11.06,22998,1.14,195,0.75,,
001720,신영증권,코스피,금융업,51300,100,481513958100,2020-11-19,-,51300,2324,22.07,69280,0.74,2500,4.87,,
036420,제이콘텐트리,코스피,서비스업,29300,-500,480082580300,2020-11-19,-,29300,79,370.89,22129,1.32,0,0,,
272450,진에어,코스피,운수창고업,10600,-200,4.77e+11,2020-11-19,-,10600,,,5750,1.84,0,0,,
017960,한국카본,코스피,기계,10850,-500,476974213450,2020-11-19,-,10850,431,25.17,7114,1.53,120,1.11,,
004490,세방전지,코스피,전기전자,34000,0,4.76e+11,2020-11-19,-,34000,5701,5.96,75298,0.45,500,1.47,,
034830,한국토지신탁,코스피,금융업,1880,-15,474679752400,2020-11-19,-,1880,449,4.19,3476,0.54,110,5.85,,
017390,서울가스,코스피,전기가스업,93700,700,4.685e+11,2020-11-19,-,93700,7512,12.47,192791,0.49,1750,1.87,,
008350,남선알미늄,코스피,철강금속,4190,-40,461650387100,2020-11-19,-,4190,131,31.98,1621,2.58,0,0,,
010050,우리종금,코스피,금융업,527,0,460705194962,2020-11-19,-,527,78,6.76,536,0.98,0,0,,
002390,한독,코스피,의약품,33400,600,459702002200,2020-11-19,-,33400,2544,13.13,24757,1.35,275,0.82,,
145720,덴티움,코스피,의료정밀,41300,-400,457142679000,2020-11-19,-,41300,1714,24.1,18695,2.21,0,0,,
071320,지역난방공사,코스피,전기가스업,39300,-100,455044639200,2020-11-19,-,39300,,,132086,0.3,0,0,,
003530,한화투자증권,코스피,금융업,2110,-70,452695805250,2020-11-19,-,2110,511,4.13,5265,0.4,0,0,,
249420,일동제약,코스피,의약품,18950,100,451072250750,2020-11-19,-,18950,,,10643,1.78,0,0,,
322000,현대에너지솔루션,코스피,전기전자,39950,-450,4.4744e+11,2020-11-19,-,39950,2788,14.33,28380,1.41,0,0,,
027410,BGF,코스피,금융업,4655,-5,445561662105,2020-11-19,-,4655,281,16.57,15699,0.3,110,2.36,,
138250,엔에스쇼핑,코스피,유통업,13200,-350,444787200000,2020-11-19,-,13200,,,12609,1.05,150,1.14,,
093050,LF,코스피,섬유의복,15200,-450,4.44448e+11,2020-11-19,-,15200,2313,6.57,41768,0.36,500,3.29,,
298000,효성화학,코스피,화학,139000,6000,443427514000,2020-11-19,-,139000,27637,5.03,142536,0.98,5000,3.6,,
006390,한일현대시멘트,코스피,비금속광물,26100,-300,439035669000,2020-11-19,-,26100,2458,10.62,12164,2.15,1000,3.83,,
025860,남해화학,코스피,화학,8810,160,437670606830,2020-11-19,-,8810,335,26.3,8735,1.01,60,0.68,,
053210,스카이라이프,코스피,서비스업,9030,-20,431832352980,2020-11-19,-,9030,1147,7.87,14620,0.62,350,3.88,,
005070,코스모신소재,코스피,화학,14700,-250,429945085500,2020-11-19,-,14700,,,5026,2.92,0,0,,
068400,SK렌터카,코스피,서비스업,8860,-40,418952542400,2020-11-19,-,8860,740,11.97,9639,0.92,0,0,,
011280,태림포장,코스피,종이목재,5890,600,417046986600,2020-11-19,-,5890,270,21.81,4325,1.36,290,4.92,,
026890,디피씨,코스피,전기전자,9830,40,409696460250,2020-11-19,-,9830,287,34.25,3705,2.65,80,0.81,,
007460,에이프로젠 KIC,코스피,기계,2255,325,405706491685,2020-11-19,-,2255,86,26.22,1973,1.14,0,0,,
006060,화승인더,코스피,화학,7310,-170,404389200000,2020-11-19,-,7310,1092,6.69,5972,1.22,45,0.62,,
293480,하나제약,코스피,의약품,24950,650,4.0419e+11,2020-11-19,-,24950,1778,14.03,13601,1.83,460,1.84,,
014830,유니드,코스피,화학,45150,-250,401376411450,2020-11-19,-,45150,7600,5.94,79982,0.56,1200,2.66,,
060980,한라홀딩스,코스피,금융업,38200,1400,400033074000,2020-11-19,-,38200,3921,9.74,84613,0.45,2000,5.24,,
008730,율촌화학,코스피,화학,16100,-150,3.9928e+11,2020-11-19,-,16100,734,21.93,13790,1.17,500,3.11,,
102460,이연제약,코스피,의약품,23000,1850,397184976000,2020-11-19,-,23000,359,64.07,13131,1.75,350,1.52,,
009410,태영건설,코스피,건설업,10200,-200,396770799600,2020-11-19,-,10200,1326,7.69,14630,0.7,150,1.47,,
001200,유진투자증권,코스피,금융업,4050,-65,392308992900,2020-11-19,-,4050,427,9.48,8151,0.5,70,1.73,,
096760,JW홀딩스,코스피,금융업,5900,100,392067714500,2020-11-19,-,5900,,,2253,2.62,90,1.53,,
016710,대성홀딩스,코스피,서비스업,24350,200,391778326650,2020-11-19,-,24350,837,29.09,26020,0.94,250,1.03,,
001780,알루코,코스피,철강금속,4685,-20,389826120855,2020-11-19,-,4685,,,2755,1.7,0,0,,
003220,대원제약,코스피,의약품,19200,250,388677177600,2020-11-19,-,19200,1369,14.02,10124,1.9,260,1.35,,
002620,제일파마홀딩스,코스피,서비스업,24200,250,386555191000,2020-11-19,-,24200,,,24634,0.98,70,0.29,,
033180,필룩스,코스피,전기전자,4280,985,385384587840,2020-11-19,-,4280,,,3355,1.28,0,0,,
005500,삼진제약,코스피,의약품,26950,0,3.74605e+11,2020-11-19,-,26950,917,29.39,14207,1.9,800,2.97,,
009680,모토닉,코스피,운수장비,11350,-250,3.7455e+11,2020-11-19,-,11350,514,22.08,12362,0.92,300,2.64,,
084690,대상홀딩스,코스피,금융업,10300,50,372989141400,2020-11-19,-,10300,1946,5.29,15703,0.66,200,1.94,,
126560,현대퓨처넷,코스피,서비스업,3280,-5,370235234880,2020-11-19,-,3280,343,9.56,6569,0.5,60,1.83,,
002270,롯데푸드,코스피,음식료품,327000,-4500,370121490000,2020-11-19,-,327000,41242,7.93,625100,0.52,12000,3.67,,
002990,금호산업,코스피,건설업,10100,-150,370002632400,2020-11-19,-,10100,332,30.42,10364,0.97,500,4.95,,
001430,세아베스틸,코스피,철강금속,10250,-100,367586719750,2020-11-19,-,10250,483,21.22,51512,0.2,300,2.93,,
001500,현대차증권,코스피,금융업,12400,-100,363780176400,2020-11-19,-,12400,2315,5.36,25525,0.49,600,4.84,,
000140,하이트진로홀딩스,코스피,금융업,15550,-100,360865195750,2020-11-19,-,15550,,,18398,0.85,350,2.25,,
