종목코드,종목명,시장구분,산업분류,현재가(종가),전일대비,시가총액(원),일자,관리여부,종가,EPS,PER,BPS,PBR,주당배당금,배당수익률,PCR,PSR
002690,동일제강,코스피,철강금속,2405,-25,3.6075e+10,2020-12-21,-,2405,74,32.5,8703,0.28,10,0.42,,
071950,코아스,코스피,기타제조업,1135,0,35079683350,2020-12-21,-,1135,70,16.21,811,1.4,0,0,,
010420,한솔PNS,코스피,유통업,1675,10,34325795100,2020-12-21,-,1675,154,10.88,2004,0.84,25,1.49,,
005030,부산주공,코스피,운수장비,734,-7,32919545478,2020-12-21,-,734,,,709,1.04,0,0,,
015020,이스타코,코스피,서비스업,710,-10,30424636000,2020-12-21,-,710,307,2.31,1141,0.62,0,0,,
001420,태원물산,코스피,운수장비,3995,90,3.0362e+10,2020-12-21,-,3995,73,54.73,4237,0.94,85,2.13,,
019490,하이트론,코스피,전기전자,4580,760,25694871720,2020-12-21,-,4580,,,3091,1.48,0,0,,
001770,신화실업,코스피,철강금속,20900,300,25390950200,2020-12-21,-,20900,793,26.36,28118,0.74,100,0.48,,
002420,세기상사,코스피,서비스업,61600,0,25107667200,2020-12-21,-,61600,,,55045,1.12,0,0,,
015260,에이엔피,코스피,전기전자,1975,25,23357157775,2020-12-21,-,1975,,,4707,0.42,0,0,,
009810,엔케이물산,코스피,유통업,553,-12,23109433130,2020-12-21,-,553,,,802,0.69,0,0,,
004920,씨아이테크,코스피,기타제조업,911,-10,22839473292,2020-12-21,-,911,,,1692,0.54,0,0,,
008500,일정실업,코스피,섬유의복,17750,100,2.13e+10,2020-12-21,-,17750,,,24611,0.72,0,0,,
011300,성안,코스피,섬유의복,360,-12,20468829600,2020-12-21,-,360,,,1131,0.32,0,0,,
025890,한국주강,코스피,기계,1585,35,17925175515,2020-12-21,-,1585,,,2848,0.56,0,0,,
